ticker,name
4147,龍燈-KY
2704,國賓
1806,冠軍
2421,建準
2316,楠梓電
3041,揚智
6166,凌華
2388,威盛
6223,旺矽
2367,燿華
1514,亞力
3131,弘塑
7750,新代
3013,晟銘電
6196,帆宣
6257,矽格
6691,洋基工程
3515,華擎
4966,譜瑞-KY
6202,盛群
2436,偉詮電
2313,華通
1560,中砂
2449,京元電子
2360,致茂
1103,嘉泥
1104,環泥
1108,幸福
1109,信大
1110,東泥
1210,大成
1215,卜蜂
1217,愛之味
1218,泰山
1219,福壽
1220,台榮
1225,福懋油
1231,聯華食
1232,大統益
1233,天仁
1234,鮮活果汁-KY
1307,三芳
1309,台達化
1310,台苯
1315,達新
1319,東陽
1321,大洋
1323,永裕
1324,地球
1325,恆大
1337,再生-KY
1339,昭輝
1341,富林-KY
1342,八貫
1410,南染
1413,宏洲
1414,東和
1417,嘉裕
1418,東華
1419,新紡
1432,大魯閣
1447,力鵬
1452,宏益
1455,集盛
1460,宏遠
1464,得力
1471,首利
1473,台南
1474,弘裕
1512,瑞利
1515,力山
1517,利奇
1521,大億
1522,堤維西
1524,耿鼎
1525,江申
1526,日馳
1527,鑽全
1530,亞崴
1531,高林股
1532,勤美
1533,車王電
1537,廣隆
1538,正峰
1539,巨庭
1540,喬福
1541,錩泰
1582,信錦
1589,永冠-KY
1603,華電
1604,聲寶
1611,三洋電
1612,宏泰
1615,大山
1617,榮星
1618,合機
1709,和益
1711,永光
1713,國化
1714,和桐
1718,中纖
1720,生達
1721,三晃
1725,元禎
1726,永記
1727,中華化
1730,花仙子
1731,美吾華
1732,毛寶
1733,五鼎
1734,杏輝
1736,喬山
1737,臺鹽
1760,寶齡爵士
1762,中化生
1773,勝一
1783,和康生
1786,科妍
1789,神隆
1808,潤隆
1810,和成
1903,士紙
1905,華紙
1909,榮成
2007,燁興
2008,高興昌
2009,第一銅
2010,春源
2013,中鋼構
2015,豐興
2017,官田鋼
2020,美亞
2022,聚亨
2028,威致
2029,盛餘
2030,彰源
2032,新鋼
2034,允強
2049,上銀
2062,橋椿
2101,南港
2102,泰豐
2104,中橡
2107,厚生
2227,裕日車
2228,劍麟
2231,為升
2233,宇隆
2239,英利-KY
2329,華泰
2332,友訊
2340,聯嘉
2351,順德
2359,所羅門
2363,矽統
2365,昆盈
2369,菱生
2374,佳能
2375,凱美
2387,鼎元
2393,億光
2397,友通
2399,映泰
2401,凌陽
2402,毅嘉
2405,輔信
2406,國碩
2414,精技
2417,圓剛
2423,固緯
2426,鼎翰
2428,興勤
2430,燦坤
2431,聯昌
2441,超豐
2442,新美齊
2443,新巨
2444,友勁
2450,神腦
2453,凌群
2455,全新
2459,敦吉
2460,建通
2461,光群雷
2462,良得電
2464,盟立
2465,麗臺
2467,志聖
2468,華經
2471,資通
2472,立隆電
2476,鉅祥
2478,大毅
2481,強茂
2483,百容
2484,希華
2485,兆赫
2486,一詮
2488,漢平
2489,瑞軒
2493,揚博
2495,普安
2497,怡利電
2506,太設
2509,全坤建
2514,龍邦
2515,中工
2516,欣陸
2520,冠德
2524,京城
2527,宏璟
2528,皇普
2530,華建
2534,宏盛
2535,達欣工
2536,宏普
2537,聯上發
2538,基泰
2539,櫻花建
2540,愛山林
2543,皇昌
2545,皇翔
2546,根基
2547,日勝生
